student_utterance,previous_5_utterances,subsequent_5_utterances,filename,student_tag
"In the beginning, Ichiro had 180 yen, and since he takes out 10 yen every day-","[S] And, after I've written the answer of X and Y?
[T] That's right, huh? Okay.
[T] Okay. Okay. Please say-
[S] Now.
[S] One hundred.","[S] And we have X as the num- number of days and if we make the amount of money left Y-
[S] Then it becomes- the mathematical expression Y equals 180 minus 10 X.
[S] And the smaller brother has 110 yen every day. Oh. He has 110 yen.
[S] And since he takes out five yen every day it becomes the mathematical expression Y equals 110 minus five X.
[S] And when they become of the same amount of money and-",Math JP3 transcript.xlsx,5 - Providing Evidence/Explaining Reasoning
Could I just do what I was thinking of? Could I just,"[S] An then… a brown? No it wouldn't, yeah it would, and then you  could make a train for the thirds. [talk about whose mat is who's] Ok,  and then the browns, two browns would make a train for one third
[S] Right,
[S] And then,
[S] Woo, woo, woo, woo
[S] And then two more browns would make another train for thirds. One, two, I know. No, wait, no, it wouldn't be browns, it would be  blacks.","[S] No they're not, look, it'd be blue and a purple or a blue and a
[S] Could I just make something?
[S] Hey you're robbing me.
[S] Everyone's robbing you, remember?
[S] Could I have some",Video Mosaic Grade 4 Building large models 3.xlsx,1 - None
This is hard.,"[S] Rachel. Rachel has one 7/15ths cups of chocolate chips. Maya has eight fifteenth's of a cup of chocolate chips. Rachel has 10/15ths of a cup of, of a cup more chocolate chips than Maya.
[T] Adam what happened to one in 4/12 and one and 11/12th? we were just talking about grapes. How am I talking about?
[S] No becuase I thought you were you talking about the second one.
[S] Miss Strathom.
[T] Okay, Adam. I need Okay, here's what we're gonna do, buddy. Adam Don't get upset. Do not get upset.","[S] What do you do when You're done.
[T] Okay, Ethan. Just one moment, buddy on getting ready to end this. And Adam? Don't worry, you and I are going to do this later.
[S] Okay.
[T] Okay. So friends, I need you all to come back to me.
[S] Miss Strathom",TalkBack.Year2.Strathom.Fall.121020.xlsx,3 - Asking for More Information
Two. Four.,"[T] I have three across, I have three down. So therefore, I'm looking at a square number. Let's do... What kind of array is this?
[S] Four by four.
[T] Four by four. Would you say, if connected, that this would also make a square?
[S] Yes.
[T] Yes. So when I'm looking... okay hold on, one step back. How many dots are here?","[T] Four. How many dots are here?
[S] Nine.
[T] How many dots are here?
[S] 16
[T] 16 dots, right.",TalkBack.Year2.Smith.Fall.102220.xlsx,2 - Relating to Another Student
Will you help me?,"[S] So it's kind of like we're teachers?
[T] Kind of. It's more like I want to see how big those brains are on top of your shoulders. All right, you two ladies, you can go ahead and solve these and prove to me that you know what you're doing and then I can make you coaches to help my Ss.
[S] Ok!
[T] Just that first column, from eight tenths all the way down to two thirds, I want to see what you can do. Clearly some of them are going to be exceedingly easy because it's just like what we did. If it's already in tenths, it's easy, but I want to see if you can figure out or have strategies to figure out, well, what do we do when it's not cut into 10 pieces, nice and easy?
[T] Yes, sir?","[T] Try again.
[S] Will you please help me?
[T] Certainly. So how do you say this fraction?
[S] Eight times ten?
[T] It's not multiplying. It's a fraction eight out of...",TalkBack.Year1.Parker.Fall.112219.xlsx,3 - Asking for More Information
"That make, let's see if it works. ","[S] Yeah, exactly.
[S] Not the other, uh, four. It's just.
[S] And then, and X.
[S] That makes sense.
[S] Yeah. ","[S] So say
[S] Where's factorial on this?
[S] Where's the exclamation point?
[S] Math.
[S] Ah.",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
Lemon raspberry.,"[T] Yeah?
[S] Speaking of that, on the long weekend, we actually doubled the recipe of a cake and it tasted the same.
[T] Awesome. Did you make two cakes or did you just double the size of your cake?
[S] 
Doubled the size.
[T] Nice! What kind of cake?","[T] Oh my gosh, that sounds amazing. Carolina?
[S] Well, this was a few weeks ago, but I was making Parmesan, and if I followed the normal recipe it was going to be too much because we didn't need that much, so I cut it in half.
[T] You're going to do so great in something we're going to do in just a little bit. That's fantastic. Yeah, Gavin.
[S] 
So I made hot cocoa for my family a few weeks ago, and there's 15 people in our family, so I have to triple the recipe.
[T] Oh my gosh. Guys! You are... I love all of this practicing you're doing, and I don't know why I'm not coming over to all of your houses for desserts all the time.",TalkBack.Year2.Davies.Spring.042121-2.xlsx,1 - None
One. One.,"[T] Okay. Now, what do you know about math when a number is over itself?
[S] They cancel out.
[T] And what does it equal?
[S] Zero.
[S] One.","[T] No. Come on. What does A divided by A equal?
[S] One.
[T] Okay. So, now if we do this division, what answer do we have here?
[S] One.
[S] One.",Math US3 transcript.xlsx,2 - Relating to Another Student
"One, two, three, four.","[S] Yes.
[T] Much better. Thank you. Now, I have one, two. I've got to do it the other way. Sorry. All right, Finn pay very close attention.
[T] What do you notice about these right here?
[S] Two, four, six, eight.
[S] Two, one.","[S] Okay.
[S] This would be the X. This one's counting by twos, this one's counting by ones.
[T] All right. I want you to think about multiplication process. I want you to think about it in the context of multiplication.
[S] I know.
[T] Tell me.",TalkBack.Year1.Strathom.Fall.120919.xlsx,2 - Relating to Another Student
"If it's already a negative number, do you have to switch the symbol from minus to plus or just keep it as minus?","[T] Yeah, we labeled them like x one y one. Because that's the first point, then x two y two because this is the second point. Oops, wrote x in doing that all day. y two, because that's the second point. Okay, so I'd like you to write an x one, y one, the ones just mean that that's part of the first point. And then I'd like you to write an x two y two, because that's part of the second point. Molly, I still don't see your showing up. So maybe try clicking on that link, again, in the chat. See if see if that works for you might just need to reload it. Okay, so once we label them, all we're doing is we're looking at this equation right here. And we're putting in the numbers in the right spots. So y two minus y one, those represent the rise because there we go, Molly, I can see yours. Now, the rise is up and down. Those are your y values. The run, you look at the x values, because x goes side to side. And then you just put in your values where they match up. So you look at y two just right there. And you look at y to here, and you write your number that's 10 minus, you find y one. You write y one right there to 10 minus one is your numerator. Then you think okay, run is in the bottom, those are my x values, because that side the side. So I've got x two, which is 5 xtwo, just five minus x one, which is two. And then you just solve. So you got 10 minus one at the top, you've got five minus two in the bottom. And Rylee, be careful with your subtraction in the bottom there should be the same as the last slide. There we go. Okay, so we get nine over three, which is just three. So our slope for this problem is three. Okay. Okay, any questions about how I found my slope using the slope formula? So let's say I didn't have a graph, I didn't have a table, I just wanted to find the slope, I use the slope formula, okay. It's as long as you remember it, you might need to look it up, or look back through these notes, look on Schoology. But once you know the formula, then you just plug in those numbers, you subtract them and you get your rise over your round and you divide. Okay, now, I do want to show you this. So let's say you find your slope but then you still want to write your equation. Okay, it's as easy as making an XY chart like this. You don't need to do this on yours, but I just want to show you this. So I'm going to make the same xy chart as before, so two comma one. And I'm just going to show you, even if you if you don't have as long as you have a piece of paper, you can do this, like on your homework or whatever. So these are the starting points. Those are your starting points right there. And all you do is once you know the slope, you just go up by three every time. So you got 147 10, just like we had before. And then you go backwards by three, negative two, negative five. And all of a sudden, now you have your y intercept, right there, which is negative five. So you have your equation, y equals 3x minus five. You got your slope, you've got your y intercept. Okay, Kyra, make sure you add in that y intercept into your equation for this one. Hugo, make sure I can see your work on every single question. Let me know if you're having trouble with anything? Okay. All right. Anybody have any questions on this one? questions on this one? Okay. All right. So let's try this next question. And I'm gonna say a little bit less for this one, but I am going to just suggest that you start your table at negative two. And you go all the way up to four, just like that. And other than that, I'm gonna I want to see what everyone's able to do for this. Okay, so see what you can do on this problem. Alright, I'm seeing some good graphs so far. Hugo, let's go, buddy, I got to see your work. Otherwise, I'm gonna mark you absent today. But, um, make sure that you are participating on every single question. It's not really optional. It's how we how we get stuff done in this class. Okay. So let's see how we're doing here. I see most people graph this pretty well. Um, if we are looking at our rise and our run, so the rise is actually going down. So it's a drop for this problem. It's a negative slope. So we got to remember that our final answer is going to be a negative slope and the rise is negative nine. Okay, I want you to notice how you can figure this out just from the points six to negative three. That's a minus nine, it's really negative three minus six is negative nine. Okay, your run is six. And hopefully you can see that because negative two to four. Right here negative two to four. That's a run of six six, or sorry, four minus negative two is Six. Okay, so your y values that gives you your rise, your x values that gives you your run. Okay? Now, when you find your slope, and I see a few people have already done this, which looks great. Your rise is negative nine. Your run a six, you rise is negative nine, you run a six. Okay, now is it was anybody able to simplify this? What is this simplify to? Maybe you can unmute and say what is this simplify to as a fraction? Hugo, I cannot see yours showing up. Maybe try exiting out and reloading, Molly got hers to start working. So hopefully yours will start working as well.
[S] Is it half of nine?
[T] Close/ What are these both divisible by?
[S] three
[T] so let's divide them both by three. So you get negative three over two. So that's the same fraction. And then check this out. I think this is so cool. So if you go down three over two, instead of down nine over six, down three over two, down three over two, down three over two, you get to the same exact spot, you just have to do it three times. Okay? So it's the same thing, negative three over two gets you to the same spot as negative nine over six. Okay, and then what about when we simplify this? negative three halfs is the same thing as negative one and a half. Okay. So there's kind of three ways you can think about this problem down nine over six, down three over two, down three over two, down three over two. Or you can think of it a bit like this over one down one and a half over one down one and a half, over one down one and a half. And you get all these other points all the way through your graph that fit all three of those. They're all on the line. It's just how like close together you want your points. Okay Are there any questions on this graph? Yes, thanks for oxy asking Rylee. Go ahead. Okay, any questions on the graph at all? All right. Okay, let's talk about the table. Let's see what people are coming up with. So Molly, I see that you labeled your x values in a really nice way. So let's label them like Ella did. So we're gonna go up by Oh, first of all, let's write in these. So negative 264 comma negative three. So those are our starting points. Okay, those are our starting points. And then we're just going to go up by ones. And I made it so that there's enough space for it to be perfect all the way there. Thanks, Leanna. Thanks, Enzoa. Thanks, Macy. All right. So let's see. Let's see if we can figure out how to fill out this table. So let's say you didn't even have the graph or another slope. So what you could do is say okay, well from six to negative three, that's negative nine, and from negative two to four, that's up six as positive six. Okay, so you go negative nine, divided by six, that's negative three halfs, or negative one and a half. Okay, so you could do all those things, and, and figure out how much you have to go up by every time. And then you just go down by one and a half. Now, we have this graph here, though, and we actually have some really nice points that it goes through. So check out this one, this is zero comma three. So that's like the equivalent of saying, Oh, I went down three, I went over to down three over two. I have this other really nice point here, two comma zero, down three from three to zero, over two from zero to two. And then I went down three again to get to negative three, and down to sorry, over two to go to from two to four. Okay, now if you fill in all these in betweens, then you're gonna have Great table. So notice our slope is minus one and a half. So if you go six minus one and a half, you get four and a half. And that's right in the middle of three and six, which is good if it's going to be a straight line. Right? And then down by one and a half again, gets you to three, down by one and a half again, gets you to one and a half, which is right in between zero and three. Okay, and then down by one and a half again, you get negative 1.5. We're just going down by one and a half every time. Okay, we're looking pretty good on this one. Any questions so far before we write the equation? Kyra, make sure you simplify that fraction. What is negative nine sixths equal to? you can look on my screen for that. Okay, so I'm going to write down the equation that Enzo and Leanna wrote. So they wrote y equals negative 1.5x. That's your slope plus three, that's your y intercept. So that's one equation that you could write. the other equation is you could use this simplified fraction, so y equals negative three halfs x. Thanks Rylee. plus three. Okay, negative three halves, x plus three, those are your two options. All right. Any questions on this one Anybody? we're gonna do one more slide and then take a quick break. And then we'll finish up for with class after that for today. Okay, so one more time, let's use this slope formula. Remember, the first step is to label now want to see every single person in here, label x one y 1x, two y two a promise, it's such a help When you use this equation, if you label Okay, that way, you just you literally just look at where the numbers are. And you put them in the equation, and then you subtract and divide.","[T] A good question. Let's Um, let's see. Because I don't think we need to switch anything. But so let's let's plug them in. So y two minus y one, so negative three minus six. So Rylee, maybe you can answer for this one. What is negative three minus six?
[S] negative nine?
[T] Yep. So does that answer your question?
[S] No. My second question, right. Or, or the question was about the second row because
[T] Oh I see.",TalkBack.Year2.Gautier.Fall.121020.xlsx,3 - Asking for More Information
"That would, like you’re saying from here to here going to there?","[S] The three to the four.
[S] Oh, fourth row.
[S] All right.
[T] Show me that three plus three is six. 
[T] Which ones would it be?","[S] Uh-huh.
[T] OK, show me. 
[T] How would you draw your little arrow to shows that?
[S] This one and that one.
[S] Yeah, is that it? ",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
Exactly! You have a different rule. That's why!,"[S] [looking at his work] Oh, wait a minute. It is seventy-six. If you follow  my rule, [pointing to what he has written on paper] twenty-five times …  oh, wait a minute [putting his forefingers on his temples] so I must have  messed up somewhere because twenty-five times three is seventy-five  plus one is seventy-six like I got up here [looks at T].
[T] [to James] What do you think James?
[S] [looking at his work in the paper] I got eighty. I don't see how he got it? Well, I'm going to go by my rule. [mumbles something to T]
[S] Just do the rule on the number. Twenty-five times three plus one … but,  wait a minute. Do you even have the same rule as me?
[S] [mumbles and shakes his head]","[S] [writing in his paper] But my rule worked. Twenty-five …
[S] [shuffling his papers] Like this one had two different rules. It could have  more than one rule. [Ariel makes some funny noises, adjusts his clothing and finally  becomes conscious of the camera. James keeps writing in his paper and  is mumbling inaudibly as he is writing.]
[S] [to Ariel] Seventy-six.
[S] Seventy-six?Yeahhh!
[T] But no, see, look, because you have your way [pointing to James] and  you have your way [pointing to Ariel] and at first you had different  numbers. But then you did your way, [pointing to James] you stuck to  your way and then you got to seventy-six. So, I want you to explain to  each other what's your rule [pointing to James] and what's your rule  [pointing to Ariel].",Video Mosaic Grade 7 Guess Rule 5 .xlsx,2 - Relating to Another Student
"Yes, because I am not sure if I understand it.","[T] Yes?
[S] Can you check exercise three for a moment?
[T] Of course.
[S] Because if I have that one correct then-
[T] Then you understand it, you mean.","[T] Yes. Except you have already used the new method which is explained to you in the next paragraph.
[T] But if you understand it, then it doesn't matter at all.
[S] No, I took the old method, I think. Oh, no! That is the new one.
[T] Yes, that one won't be explained until the next paragraph.
[S] Oh, so according to the book, I am actually working ahead.",Math NL2 transcript.xlsx,1 - None
Fifth.,"[T] Zero, so on your number line, I want everyone to write a zero. Near the very far end of your number line.
[S] On the fifth?
[T] Yes, on your fifths. Deborah, you're a fighter. If I'm counting by fifths, what is this first? How many? Seth, say it again.
[S] One.
[T] One what?","[T] One-fifth. I want you to write that above the first line. Now here's the crazy question, what would the second one be?
[S] Two-fifths.
[T] Two-fifths. What's next?
[S] Three fifths.
[T] What's next?",TalkBack.Year1.Cornish.Fall.112119.xlsx,4 - Making a Claim
Like our line thing.,"[S] Each one of those, those three goes with two other.
[S] Those three things go with.
[S] Oh OK, like with our line thing.
[S] So it's three times two.
[S] All right.","[S] Or you could say like you have two more colors to add on.
[S] So you could do, you could make these into two different combinations.
[S] Yeah.
[S] So that's two.
[S] Yeah. That's - Yeah, that's why. All right.",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
"four oranges and two purples as our whole and for our thirds we  counted, we counted two oranges as one, I mean two browns as  one. [holds up two brown rods end to end] And we had","[T] Now, I want all of you to see what Jessica and Andrew are  building, and, now you all can't come up at one time, so I'm gonna,  if it's ok with Mrs. Phillips, I'm gonna ask you in little groups to go  up there and take a look at their model and um so we can be able to  talk about it and then some of you maybe can look at it from where  you're sitting. I know that Gregory and Danielle are very fortunate -  they have front row seats. I think, can you see Alan and Erik?
[S] Not really.
[T] Not really. So some of you may have to go up in a minute to see  what they're doing.
[S] Well, what we did was we made a model and we counted um
[S] Four oranges","[S] that was our third.
[S] That was our thirds, and for our fourths we counted two greens as  one [holds up a train of two dark green rods], two dark greens as  one.
[S] Purples were our twelfths, the reds were the twenty-fourths  [Jessica says twenty fourths] and the whites were forty-eights.
[S] Forty-eighths. And we think that, we think that, three um, fourths  are bigger than two thirds by either, um, one forty- I mean four  forty-eighths um, two twelfths, or, um
[S] No, two twenty-fourths.",Video Mosaic Grade 4 Large Model equivalence 3.xlsx,5 - Providing Evidence/Explaining Reasoning
Look everybody.,"[S] That’s 42. Now is that what it would be? I just thought it  would be. This is 3 squared. Like three cubes. And like 3 x 3  would be 9 instead of 42. Michelle What if it were like the length of your rod. Say it’s the green  one. That’s 3. And then if you have 3 of them then it would  be times 8 because…
[S] How about length times. Hold on. Length times.
[S] She told you to hold on, Mike.
[S] I’m sorry.
[S] Wouldn’t it be length times number of rods equals volume?","[S] I mean that would make sense. Michelle No because you still have to add the ending because if you  have like 3 here. It’s going to be 3 plus 3 plus 3 plus 3 plus 3  plus another three 3s. And then plus the end.
[S] I don’t get that because that wouldn’t be volume. Michelle But she wanted us to find surface area.
[S] She wants surface area?
[S] Yeah.
[S] Oh. I didn’t know that. Didn’t she say the volume? Ah, well  then just disregard everything she said. Okay, so what did  we have? Michelle Okay, so if we kept it like going straight…",Surface area and volume_Grade 8.xlsx,1 - None
3/4.,"[T] Write an equation for that. I love the people that copied down on their paper what I did on the board seeing as, that's something I asked you to do.
[T] What kind of an equation did you write for this? Judith, what did you write?
[S] 1/4 plus 1/4
[T] Okay, so Judith says we could do 1/4 plus 1/4 plus 1/4 equals-
[S] 3/4.","[T] -3/4. Could would write another way?
[S] Yes.
[T] I've seen it a couple of places. Vivianna, what do you think?
[S] We could do one-fourth times three fourths.
[T] Close, really close.",TalkBack.Year1.Smith.Spring.030220.xlsx,2 - Relating to Another Student
32,"[S] We were thinking it has to be somewhere between 71 and  60. Because we tried 60 and we tried 71 and 71 was over  and 60 was less so we came down and we were trying 69. So it would be 69.
[S] And then 138. 138 and 69 is? It’s over. So we’ll try 68
[S] 68 and 68 is 136. 68 is over. Wait no, yeah it over. So, it’s  about 105.
[T] I’m confused what you’re doing. What are you  doing now? You are working with these numbers I didn’t  hear you working with the numbers before.
[S] Yeah. That’s because the thirds, We didn’t actually find the  thirds yet. And this is saying two thirds. So, it’s kind of  harder. Because, the length of the third is 33. It would be  36. I mean 66. 66","[S] Yeah, 32. Only 98
[S] 67 67
[S] 66 and a half.
[S] 66 and half. 32 33
[S] Yeah, 33",Ribbons 1_Grade 4.xlsx,2 - Relating to Another Student
"You could have just said to make it easier and mental, you could have just said, how many times does 2 go into 10 and that would be the 2x5=10, then you add another zero which would between 100, and then 3 goes in 15 times 5x3 is 15.","[T] Pardon me? All right, so number one says we're going to use a ration table to convert 3/20 into a decimal. Now, why are we going to use a ratio table this time around instead of long division? Why would that be our preferred strategy? Gray, what are your thoughts? Archer what are your thoughts?
[S] What you could do is on a ratio table since you can do either the up and down but still being the exact same numerator and denominator ... Well, not exact same but almost the same thing.
[T] Yeah, you can go up or down yeah.
[S] You can multiply it by 5 or by whatever you need to to get the denominator to 100 to see what the numerators number is, and that will be
[T] Yeah. So let's multiply by 5 here because we can scale it up to get a denominator of 100. That's good thinking Archer. So 20x5 is 100, and 3x5 is 15. Campbell, what would you like to add?","[T] Yeah, absolutely.
[S] We could have just set those by 20, 100.
[T] Yeah, there's lots of ways to figure it out. So then, if we are figuring out our decimal we can say 3/20 is equal to 15 hundredths.
[T] I'm not sure. Which is equal to .15. All right, the next one we're going to do is long division for 1/8, because we can't count by 8's to get to 100, we're going to use long division. So, we have 1÷8, 1 goes inside our division bar. And we're going to use our long division to solve this problem. So 8 goes into 1 zero times. We're going to add our decimal points, and then we're going to start dividing in the tenths place. So 8 goes into 10 one time, which is 8. Subtract, and I have 2 left over. Bring down my zero. 8 goes into 20 two times, which is 16, subtract and I have 4 left over. I'm going to bring down another zero so I can see what's going on here. Notice how it's not repeating yet. So 8 goes into 40 five times, which is 40. Subtract, so my decimal equivalent is .125. So that's what 1/8 would be. Yeah.
[S] Wouldn't it be important to add that zero in there? Or does it really not matter?",TalkBack.Year2.Davies.Spring.020921-2.xlsx,5 - Providing Evidence/Explaining Reasoning
a half,"[T] 2/3, okay, do you understand this? I am going to see-- I believe they do not give us anymore questions to practice but I believe you are going to do this on journal page number 173. Journal page 170-- I will make sure it's three possibly not two. Yes, 173. Here is what you are doing. Ready?
[S] I have no
[T] You are not--
[S] Kyle, you are not just going to solve this because you know how. You are going to physically draw this, so in A, think of your rectangles below a sheet of paper. Draw four line and shade to show how you found 1/3 of a half and 2/3 of a half. In this first one, what am I going to fold this paper into? A half.
[T] I'm looking at a 1/3 of a half. What am I folding the paper into, what does it tell me to do first?","[T] Explain why I would do a half first.
[S] Because if you did 1/3 then you can find it. It's not a 1/2 of a 1/3, it's .
[T] There you go, so I'm going to fold it in a half, right? In my book what would I do here?
[S] Fold
[T] Now, what do I need to look at next?",TalkBack.Year1.Strathom.Spring.012320-1.xlsx,4 - Making a Claim
And the 230-yen ones are 230 X. And... the 200-yen one is 200...,"[T] It was good, right? Then I'll ask you. Okay... Luiko.
[T] Then how did you think... about this one?
[S] The total 230 yen, oh... It's for some amount and make that amount X and...
[S] You need to buy 10 of the 200-yen ones. So 10... make it 10 minus X and...
[S] And the total has some amount of two- 230-yen ones.","[S] bracket 10 minus X... And then... then... 200- 230 X plus 200 bracket 10 minus X...
[S] is less than, minus, less than or equal to 2,100 yen. And you form the inequality equation.
[T] Okay.
[T] You said that this was the inequality equation, right?
[T] Okay.",Math JP4 transcript.xlsx,5 - Providing Evidence/Explaining Reasoning
Well then why is everybody going by a pattern?,"[S] And you have more stuck together here.
[S] Well, you're following your pattern. But my pattern goes no  red, one red. This was not meant to be like that. That's not. It's in the category of one blue. That. I could stick that some  place in another category. But I want this to be in the  category of one blue. Not in the category of the opposite of  this one. And then I have this one, the red-red-blue. So to  you, that, you might put that way at the end of the line. But I  put it right here.
[S] I have a question. Do you have to make a pattern?
[S] &
[S] No.","[S] Because we liked it.
[S] Yeah, it's easier.
[S] It's easier…
[S] Because it's easier than just going ooh-ooh.
[S] Because if you, because if you, because if you just keep on  guessing like that, you're not sure if there's going to be  more.",Gang of Four_Grade 4.xlsx,3 - Asking for More Information
"Mister G, could you explain that again, like how you got the segment from the equation?","[T] What do we know about these two segments?
[S] They're equal So it's 41.
[T] Yeah, so it's 41. So all we need to do for qR is say it's 41. Because we know it's equal to this one, that's why we put these red marks and thanks, Annie. And, and let's just double check it anyways. So for qR, we have 5x plus one. And we're going to plug in eight for x and then add one. So it's 40 plus one, you get 41. Okay, so qR is 41 as well. Okay, and Fernando, can you tell me what would PR be then if we know each parts 41?
[S] 82
[T] that's gonna be 82. And the reason why it's 82 is just because you add up these two parts. So I'm going to write that down here for PR. Pr is just 41 plus 41. Okay, which is 82. Okay. All right. Thanks for everybody who provided some help on that problem. Are there any questions about example one before we start example two? Okay. All right. So that's example one. Good job, everybody. We made it through one of these. And we've got two more to go. Okay. Example two. So it says u is the midpoint of segment TV. u is the midpoint of segment TV. So we're going to pause there. And we're going to draw a picture that represents just this first sentence. Okay, so we have a segment TV, I'm going to draw a segment instead of my draw segment instead of a line. So segment we'll draw down here, I guess, segment TV. And this would be point t. And this would be point v. And then on this segment, the midpoint is U.. Okay, and we know if it's the midpoint, that means it splits it exactly in half. So this parts equal to this part. Okay, segment t u is equal to segment UB, because it says midpoint in here. Okay? It's really important to kind of pick out these key words like if you see midpoint or segment bisector, then right away, you know, okay, I know two things that are already equal in this. So let's write out what we know about these geometrical things. So we know segment t u is congruent to segment UV. Okay, segment t u is congruent to segment UV. And I should have picked some better letters besides u and v, because when I write them, they always look very similar. Okay, um, all right. Are there any questions so far about how I came up with this picture from this first sentence? U is the midpoint of TV.","[T] Sounds good, Patrick. So u is the midpoint of segment TV. So the the parts I'm looking at our segment TV. So that's the whole thing from here to here. That segment TV. u is the middle point because it says u is the midpoint. And so I wrote you right there in the middle. And that lets me know that this segment from here to here is the same as this segment from here to here. Okay, and then geometry symbols, we would say segment t u. So that's from here to here is congruent to segment UV. Does that help Patrick?
[S] Yeah, I get it.
[T] All right. So now let's label what we know. So it says t u is x squared. So from T to u is x squared from u to v is 8x minus 12. Okay, so t u is x squared. UV is 8x minus 12. Okay, and so let's just think logically here. We know that this segment is congruent to this segment. So all I'm going to do here is I'm going to replace t u with x squared And I know it's equal to the other side, which is 8x minus 12. Okay, so t u is x squared, this side is 8x minus 12. We know they're equal because u is the midpoint. So we just make them equal to each other. Okay, now I'm going to need a little bit of help for how we're going to solve this. And I think we were on. Austin, what would you suggest? How would we solve a problem that looks like this?
[S] Maybe add the 12.
[T] Add the 12. That's a great start. What's our goal here? We want to set it equal to zero Right?",TalkBack.Year2.Gautier.Spring.012521.xlsx,3 - Asking for More Information
10 times 10 times 10 times 10 times 10 times 10.,"[T] Okay, a little more life in this group. Okay my loves, we are now going to think about what we see here. Think about what we need to do with this number, write it on our thing and then turn and talk with your neighbors, once you're written it. Go.
[T] Where's your writing? You need writing before you do anything. Everybody should have 10 to the power of six equals, what does it equal, and then what does that equal?
[T] Write 10 to the power of six. Now I want you to write the number sentence underneath it.
[S] Okay.
[T] What would that look like?","[T] And what would that equal? What does 10 times 10 times 10 times 10 times 10 times 10 equal? Andrew, you need to be writing. 10 to the power of six. What would that look like as a number . Thinking about attaching what? Attaching what?
[S] Zeros.
[T] Zeros. Go. Once you've got it, turn and talk.
[T] When you and your partner are done talking, say, ""Thank you for sharing. I love your thinking."" Turn around and look at me.
[T] You wrote down the exponents. You wrote down 10 times 10 six times. And then you wrote down .",TalkBack.Year2.Strathom.Fall.102020.xlsx,4 - Making a Claim
I don't know. do that,"[S] No.
[S] out of . How do I make into a fourth? I made into a half
[S] Huh?
[S] A third. You have to make it into two thirds.
[S] do that","[S] Caleb. Caleb. Caleb. Caleb
[S] Hello?
[S] I'm just saying
[S] On what? On what?
[S] I know. I know. I know. It's this. No, you do",TalkBack.Year2.Gibson.Spring.040621.xlsx,3 - Asking for More Information
"All right, I just totally forgot um, you know, how to do the graph.","[S] Yeah.
[T] It's 10. And then six is 12.
[S] It's six then 10 and 12.
[S] Okay.
[T] All right. Yes?","[T] Okay, now what I liked- you at least remember to use multiples. Like this one- Let's try this one right here. All right?
[S] Okay.
[T] You remembered to use fives, but let's try zero. If I put in zero there, what's three-fifths times zero?
[S] Um... zero?
[T] Right. Minus 10.",Math US1 transcript.xlsx,3 - Asking for More Information
Zero.,"[T] What do you mean?
[S] Who they are because if you count zero, it's like one, two, three, four, five, six, seven.
[T] Exactly. Later on in this unit, we're going to be given a number line and you're going to have to fill it in, so if you're just given a blank number line, you would have to figure in zero, one, two, three, four, five, six. You would have to count this and this but knowing in your head that this is going to be zero because I can't start with one-sixth here because that doesn't make sense. There's nothing on this side, but if I'm counting by one-sixth, I'm making that jump to one-sixth. Can you wait? Okay, so let's look at our twelfths then. How many lines did they give us for our twelfths?
[S] Three.
[T] Another three. Let's see. I'll do my best to line them up the best I can. What is my first line SS the way over here?","[T] Zero or zero-twelfths. Then what is this one on the far side?
[S] Twelve-twelfths.
[S] One whole.
[T] Yes or one whole. Now, can I use my sixths to help me figure out how many lines I've got to twelve?
[S] Yes.",TalkBack.Year1.Cornish.Fall.112119.xlsx,4 - Making a Claim
You have to be like thirty something. Unless...,"[T] Yeah, that's what I said first.
[S] Whichever way you did it, you should come up with the same answer, right? I would tend to go by fives, just because I'm pretty good at counting by fives. But that doesn't mean that if you counted by seven, that you were wrong. It's just that's where my brain goes faster. So count by fives with me. We're going to count seven groups of five. Are you ready? Five, 10, 15, 20, 20, 25, 30, 35.
[T] What's five times seven?
[S] 35
[T] So again, we have different strategies. We have to think about the strategy that we're going to have the most success with. And for me, it was counting by fives because I've been doing it for a really long time. But I'm only 20 years old, so I guess it really isn't that long, right? If you think I'm only 20, then...","[S] No she's 27.
[S] 27? She looks older than that.
[T] Oh Leo, be careful. I write your grades, buddy.
[S] All right, let's try a different one, are you ready? Okay. [crosstalk 00:15:41] Kind of a long skinny one. It's a two by seven, right? Ten.
[T] My mind is still thinking seven. It's a two by 10. So go ahead and figure this out and be ready to share some strategies.",TalkBack.Year2.Smith.Spring.102320.xlsx,1 - None
It's different from mine.,"[T] Now.
[S] Oh. I got it.
[T] Draw it.
[S] Teacher. It's wrong. A B-
[T] Hum?","[T] Hm. You see it is. You see Fujita's is. If these are parallel then you can say something like this.
[S] Oh. That's right.
[T] Do you understand? Since it's like this if you l- compare the area over here and over here,
[T] well it seems the one over here is smaller, right?
[T] Oh. It's the same, huh? If they are parallel then, okay? Well, I also have a feeling they will be the same. Yes.",Math JP2 transcript.xlsx,2 - Relating to Another Student
I don't understand.,"[S] One more.
[S] The top of this one is this, right?
[T] Is it this? Then it's this. Since it's the top of this.
[S] I don't know anymore which is which.
[S] What?","[T] It's this, right? This one's
[S] No. No. There is the bottom one see? Here.
[T] I think we don't have the top one see?
[S] It's two more.
[S] Oh. The opposite side.",Math JP2 transcript.xlsx,3 - Asking for More Information
